;country;total_pop;med.age;prct_close_relat;prct_rpt_crime;prct_env_satis_high;prct_env_satis_med;prct_env_satis_low;prct_job_satis_high;prct_job_satis_med;prct_job_satis_low;prct_leisure_satis_high;prct_leisure_satis_med;prct_leisure_satis_low;life_expect;prct_life_satis_high;prct_life_satis_med;prct_life_satis_low;prct_low_savings;prct_budget_veryhard;prct_budget_hard;prct_budget_somehard;prct_budget_someeasy;prct_budget_easy;prct_budget_veryeasy;median_income;prct_health_verygood;prct_health_good;prct_health_fair;prct_health_bad;prct_health_verybad;prct_rpt_pollution;legal_trust_rating;police_trust_rating;political_trust_rating;med_income_underemp;unemp_rate;avg_hrs_worked;avg_temp;avg_high_temp;avg_low_temp;avg_precipitation;corprate_tax;income_tax;vat_rate;country_gdp_rank;gpd_millions_$;gdp_agri_rate;agri_rank;gpd_ind_rate;ind_rank;gdp_serv_rate;serv_rank;Corruption_rate
1;Austria;8,955,102;43;95.8;12.4;57.2;33.3;9.5;42.2;47.6;10.2;35.3;41.4;23.3;81.8;37.9;49.3;12.9;22.6;4.3;8.5;26.1;29.7;21.4;9.9;23071;31.9;38.3;21.6;6.4;1.7;10.7;6;7.2;4.4;8.1;6;36.5;44.6;54.2;37.4;39.3;25;55;20;28;409,300;1.3;75;28.4;30;80.3;27;76
2;Belgium;11,539,328;42;92.2;13.4;22.2;70.3;7.5;23;68.5;8.5;21.5;60.6;17.9;81.5;20.9;69.9;9.2;25.9;9.3;12.2;17.2;25.8;29;6.4;21335;29.8;43.9;17;7.2;2;13.2;5;6.1;4.6;14.6;7.8;37;48.8;55.5;42;33.1;29;50;21;25;491,700;0.7;91;22.1;32;77.2;20;75
3;Bulgaria;7,000,119;45;95.3;25;8.4;32.6;59;16.1;36.1;47.7;14.6;33.9;51.5;74.9;5.9;29.8;64.2;54.2;28.9;32.8;28.5;7.3;2.1;0.3;6742;19.1;46.7;23.2;8.7;2.3;15.1;3;3.6;2.6;11.9;7.6;40.8;49.4;59.3;43.4;24.7;10;10;20;80;55,950;4.3;107;28;80;67.4;77;42
4;Croatia;4,130,304;44;94.5;3;22.4;37.9;39.7;25.6;49;25.4;24.5;42.1;33.4;78.2;15;49.5;35.4;57.7;20.4;31;36.3;9.1;2.8;0.4;8985;25.5;33.8;22.1;14.8;3.8;7;3.3;6.1;2.8;13;13.1;39.4;55.1;62.3;48;41.1;18;40;25;81;54,480;3.7;114;26.2;76;70.1;80;48
5;Cyprus;854,802;35;97;9.8;13.4;49.3;37.3;28.2;51.8;20;24;48;28.1;82.7;14.2;48.8;37;56.6;29.4;30.4;25.2;10.5;3.8;0.7;16173;44.1;34.6;16.8;3.8;0.7;9.2;3.6;4.7;2.6;10.6;13;39.2;66.1;75.1;57.5;15.4;12.5;35;19;113;21,110;2;149;12.5;140;85.5;99;59
6;Czechia;10,689,209;43;98.1;11.7;33.5;48.7;17.8;29.6;51.4;19;24.3;44.1;31.5;79.1;21.3;53.3;25.4;32.1;7.1;16.1;35.7;30.3;9.4;1.5;12478;18.6;41.8;27.9;9.7;2;13.5;3.8;4.9;3.7;6.7;4;40.3;44.5;51.4;37.3;27.4;19;53.5;21;49;209,700;2.3;71;36.9;40;60.8;49;59
7;Denmark;5,771,876;42;95.5;8.4;52.2;36.9;10.9;44.4;46.4;9.2;41.4;40.9;17.7;80.9;42.7;46.6;10.6;24.5;3.2;6.8;16.9;30.7;26.2;16.1;21355;26.5;44.8;21.1;5.4;2.2;6.8;7.5;7.9;5.9;10.7;6.2;32.9;46;51.4;41.6;23.9;22;51.95;25;36;324,100;1.3;90;22.9;42;75.8;29;88
8;Estonia;1,325,648;42;92.8;9.2;18.1;53.4;28.5;26.6;55.1;18.4;22.2;44.9;33;78;13.5;52.1;34.4;31.6;4.9;10.5;42.1;29.4;11.3;1.9;11867;9.3;43.6;32.7;12.5;1.9;9.9;5.2;6;4.4;5.8;6.8;38.4;41.9;48.4;35.9;25.6;20;20;20;105;25,680;2.8;134;29.2;104;68.1;101;73
9;Finland;5,532,156;43;98.1;6.5;34.7;56.3;9;40.8;54.6;4.7;35.9;51.6;12.5;81.5;38.6;55.5;6;29.4;2.3;4.6;17.6;32.8;25.8;16.9;19997;20.2;50.1;23.8;5;0.9;7.2;7.2;8.2;6;11.4;8.8;36.7;36.6;43.9;31.3;21.9;20;25;24;43;252,500;2.7;62;28.2;49;69.1;40;85
10;France;65,129,728;42;93.1;14.8;27.9;61.6;10.5;20;64.7;15.4;23.3;51.4;25.2;82.7;16.1;64.8;19.1;31.8;4.2;15;39.8;26.8;12.2;1.9;20621;21.9;44.5;25.5;7.1;1;14.1;4.5;5.6;3;8.4;10.1;37.3;52.3;60.5;45.6;30.7;30;49;20;5;2,575,000;1.7;11;19.5;7;78.8;6;72
11;Germany;83,517,045;46;96.7;14.1;40.9;43.1;15.9;25;50.7;24.3;24.2;42.5;33.3;81;25;55.8;19.2;30;2.3;4.6;9.6;39.4;32.2;12;21152;18;47.2;26.5;6.9;1.4;23.2;5.3;6.4;4.9;9.6;4.1;35.1;46.6;54;40.5;29.4;29.8;47.47;19;4;3,652,000;0.7;31;30.7;4;68.6;4;80
12;Greece;10,473,455;46;96.2;11.8;18.3;45.2;36.5;14;48.3;37.7;11.6;52.2;36.2;81.5;12.8;51.8;35.5;53.6;40.6;36.2;17;4.4;1.5;0.3;9048;45;29;15.6;7.5;2.8;19.6;4.1;5;2;17.2;23.6;42.3;62.5;70.1;53.9;25.3;29;65.67;24;51;204,300;4.1;54;16.9;62;79.1;43;45
13;Hungary;9,684,679;43;97.2;9.7;15.8;51.9;32.3;23;55.7;21.3;15.4;49.4;35.2;76.2;11.3;50.2;38.5;50.8;17.1;25.7;38.1;15.6;3.1;0.4;8267;17.6;42;27.1;10.4;2.8;12.8;5.1;5.7;4.5;8.2;5.1;39.7;50.3;58.3;42.7;22.7;9;33.5;27;58;132,000;3.9;68;31.3;59;64.8;57;46
14;Iceland;339,031;37;96.4;2.2;29.2;56.6;14.2;42.3;48;9.6;35;43;22;82.2;38.1;52.4;9.5;30.9;6.2;7.9;20.9;34.9;15.7;14.3;22193;38.3;37.7;17.4;5;1.5;7.9;5.7;7.7;3.7;4.3;3;39.3;38.5;43.1;34.2;38.1;20;36.94;24;108;24,850;5.8;120;19.7;114;74.6;98;76
15;Ireland;4,882,495;38;96.2;9.9;43.7;46.2;10.1;28.3;51.7;20;29.1;42.3;28.6;81.8;30.6;52.7;16.7;45.3;12;15.4;36.7;25.4;7.7;2.7;18286;41.7;41.1;13.7;2.8;0.8;4.6;5.1;6.9;3.2;18.2;8.4;35.9;49.4;55.2;44;40.8;12.5;40;23;35;325,600;1.2;93;38.6;28;60.2;36;73
16;Italy;60,550,075;47;86.8;14.7;11;53.5;35.5;20.2;62.2;17.6;13.8;58.2;28;83.4;14.2;63;22.7;40.4;10.9;22.4;41.4;20.5;4.4;0.3;16237;10.5;60.4;21.4;6.4;1.3;15.1;3.6;5.8;2.1;12.8;11.7;37;56.3;63.8;49.1;30.4;27.9;45.83;22;9;1,921,000;2.1;17;23.9;10;73.9;9;52
