Entity,Code,Year,Share of people who have bribed (%)
Afghanistan,AFG,2013,46
Albania,ALB,2016,34
Algeria,DZA,2013,41
Algeria,DZA,2016,14
Argentina,ARG,2013,13
Argentina,ARG,2017,16
Armenia,ARM,2013,18
Armenia,ARM,2016,24
Australia,AUS,2013,1
Australia,AUS,2017,4
Azerbaijan,AZE,2016,38
Bangladesh,BGD,2013,39
Belarus,BLR,2016,20
Belgium,BEL,2013,4
Belgium,BEL,2016,3
Benin,BEN,2015,26
Bolivia,BOL,2013,36
Bolivia,BOL,2017,28
Bosnia and Herzegovina,BIH,2013,28
Bosnia and Herzegovina,BIH,2016,27
Botswana,BWA,2015,1
Brazil,BRA,2017,11
Bulgaria,BGR,2013,8
Bulgaria,BGR,2016,17
Burkina Faso,BFA,2015,11
Burundi,BDI,2015,14
Cambodia,KHM,2013,57
Cambodia,KHM,2017,40
Cameroon,CMR,2013,62
Cameroon,CMR,2015,48
Canada,CAN,2013,3
Cape Verde,CPV,2015,2
Chile,CHL,2013,10
Chile,CHL,2017,22
China,CHN,2017,26
Colombia,COL,2013,22
Colombia,COL,2017,30
Costa Rica,CRI,2017,24
Cote d'Ivoire,CIV,2015,34
Croatia,HRV,2013,4
Croatia,HRV,2016,10
Cyprus,CYP,2013,19
Cyprus,CYP,2016,2
Czech Republic,CZE,2013,15
Czech Republic,CZE,2016,9
Democratic Republic of Congo,COD,2013,46
Denmark,DNK,2013,1
Dominican Republic,DOM,2017,46
Ecuador,ECU,2017,28
Egypt,EGY,2013,36
Egypt,EGY,2016,50
El Salvador,SLV,2013,12
El Salvador,SLV,2017,31
Estonia,EST,2013,6
Estonia,EST,2016,5
Ethiopia,ETH,2013,44
Finland,FIN,2013,1
France,FRA,2016,2
Georgia,GEO,2013,4
Georgia,GEO,2016,7
Germany,DEU,2016,3
Ghana,GHA,2013,54
Ghana,GHA,2015,36
Greece,GRC,2013,22
Greece,GRC,2016,10
Guatemala,GTM,2017,28
Guinea,GIN,2015,35
Honduras,HND,2017,33
Hong Kong,HKG,2017,2
Hungary,HUN,2013,12
Hungary,HUN,2016,22
India,IND,2013,54
India,IND,2017,69
Indonesia,IDN,2013,36
Indonesia,IDN,2017,32
Iraq,IRQ,2013,29
Israel,ISR,2013,12
Italy,ITA,2013,5
Italy,ITA,2016,7
Jamaica,JAM,2013,12
Jamaica,JAM,2017,21
Japan,JPN,2013,1
Japan,JPN,2017,0
Jordan,JOR,2013,37
Jordan,JOR,2016,4
Kazakhstan,KAZ,2013,34
